Key,Id
"MainManu_IniciarSesion
",187483664384
"MainMenu_Usuario",1553396510720
"MainMenu_Contraseña",1654814781440
"MainMenu_Acceder",2191299817472
"BO_Timer",7314394689536
"BO_Next_Title
",7821435711488
"BO_Next_NextBtn",8221857525760
"BO_SeBuscaCartel",14119451602944
"TimeText
",8997627604992
"PerderCanvas_Title",9443763138560
"MenuBtn",8540041621504
"ReintentarBtn
",11213453242368
"GanarCanvas_Title",11922982678528
"MC_Title",15620018384896
"MC_EntrenamientoBtn",15908502614016
"MC_CarreraBtn",16958479511552
"MD_AprendeAVolar",20522014715904
"PanelGuia_Title",21282471391232
"PanelGuia_Text1",21778221346816
"PanelGuia_Text2
",22561939632128
"R_FinalCanvas_Title",23672113180672
"InteractCanvas_2",343259342024704
"PauseMenu_Title",343727610900480
"PauseMenu_ExitBtn",343864202604544
"PauseMenu_OpcionesBtn",343993026457600
"PauseMenu_ReturnBtn",344092381130752
"PauseMenu_Resolucion	",344586734383104
"PauseMenu_TasaDeRefresco",344723162509312
"PauseMenu_PantallaCompleta",344929463545856
"PauseMenu_Pantalla",345757087805440
"PauseMenu_Sonido",345874700283904
"PauseMenu_VolumenGeneral",346442231558144
"PauseMenu_VolumenMusica",346653892915200
"PauseMenu_VolumenEfectos",346770997882880
"E_AvisoAltura",350670597500928
"E_Ejercicio1",355203180507136
"E_Ejercicio2_1",355540008284160
"E_Ejercicio2_2",356272560254976
"E_Ejercicio2_3",358176224817152
"E_Ejercicio3_1",358747015065600
"E_Ejercicio3_2",358966431690752
"E_Ejercicio4_1",359773575163904
"E_Ejercicio4_2",359788452360192
"E_Ejercicio5_1",360448434483200
"E_Ejercicio5_2",360466671316992
"E_Ejercicio6_1",361068692353024
"E_Ejercicio6_2",361092088180736
"E_Ejercicio7_1",361707199639552
"E_Ejercicio7_2",361772303626240
"E_Ejercicio8_1",362532777078784
"E_Ejercicio8_2",362602515771392
"E_Ejercicio8_3",364281436942336
"E_Ejercicio9_1",362627857756160
"E_Ejercicio9_2",364045729640448
"E_Ejercicio9_3",364058652291072
"E_Tablet_0Btn",365559428788224
"E_Tablet_1Btn",365699535319040
"E_Tablet_2Btn",365740492697600
"E_Tablet_3Btn",365755894181888
"E_Tablet_4Btn",365787905110016
"E_Tablet_5Btn",365802211880960
"E_Tablet_6Btn",365818439643136
"E_Tablet_7Btn",365837309816832
"E_Tablet_8Btn",365851134242816
"T_Panel1",369426178617344
"T_Panel2",369575772663808
"T_Panel3",1516271344922624
"T_Panel3.1",1516637788680192
"T_Panel4",1518057824825344
"T_Panel4.1",1518353359679488
"T_Panel5",1518774287446016
"T_Panel6",1518970027225088
"E_EjercicioText",2540519014379520
"InteractCanvas_1",3999774963773440
"SSP_Carrera
",6925336306307072
"SSP_VueloLibre",6926245836935168
"SSP_Busqueda",6926301340160000
"SSP_Agro",6926349633376256
"SSP_Examen",6926372660105216
"SSP_Volver",6926397012234240
"SSP_Bosque",6926437520822272
"SSP_Ciudad",6926547147345920
"SSP_IndicacionesK",6930924616601600
"SSP_IndicacionesG",6931490038140928
"Tutorial_FinishTitle",19212430482276352
"Tutorial_FinishText",19212792530403328
"Tutorial_Paso1_Titulo",22434123413651456
"Tutorial_Paso1_Control1_Teclado",22435202360606720
"Tutorial_Paso1_Control1_Mando",22435392421298176
"Tutorial_Paso2_Titulo",22434176853278720
"Tutorial_Paso2_Subtitulo",22434191701114880
"Tutorial_Paso2_Control1_Teclado",22435307406950400
"Tutorial_Paso2_Control2_Teclado",22435941149507584
"Tutorial_Paso2_Control1_Mando",22435961005342720
"Tutorial_Paso2_Control2_Mando",22435982543093760
"Tutorial_Paso3_Titulo",22441253453627392
"Tutorial_Paso3_Subtitulo_Teclado",22441429673115648
"Tutorial_Paso3_Subtitulo_Mando",22441527723360256
"Tutorial_Paso3_Control1_Teclado",22441695516491776
"Tutorial_Paso3_Control2_Teclado",22441869437501440
"Tutorial_Paso3_Control1_Mando",22442216742649856
"Tutorial_Paso3_Control2_Mando",22442496670498816
"Tutorial_Paso4_Titulo",22446732170952704
"Tutorial_Paso4_Subtitulo",23144810423189504
"Tutorial_Paso4_Control1_Teclado",23145191706394624
"Tutorial_Paso4_Control1_Mando",23145904960372736
"Tutorial_Paso5_Titulo",23146716205875200
"Tutorial_Paso5_Subtitulo",23147542173384704
"Tutorial_Paso5_Control1_Teclado",23147850408591360
"Tutorial_Paso5_Control2_Teclado",23148003911729152
"Tutorial_Paso5_Control1_Mando",23148132639113216
"Tutorial_Paso5_Control2_Mando",23148280307974144
"PauseMenu_Meteo_ButtonTitle",27894691884892160
"PauseMenu_Meteo_RainOption",27894960634920960
"PauseMenu_Meteo_FogOption",27895099936145408
"PauseMenu_Meteo_CloudsOption",27895200842711040
"Tutorial_Choice_Text",29343547155742720
